Review ID,Username,Rating,Review Text,Date
d5217ce4-b863-45f5-bcbe-1e1aa1eecf1f,Imam Syahputra,1,"penanganan trouble lama sekali saat buat ulasan ini sudah hari ke2 trobel, tapi belom ada tanda² perbaikan",2025-04-27 08:15:13
80ed7f42-f0d4-4d1e-a479-131ce89af225,Jhon S,1,"jangan pernah pakai wifi ini jika tidak mau menyesal.Ada keluhan yg nanggapi Bot.Kita hub pemasangan Malah ngak ada yg peduli. laporan Berulang ulang gak ada Gunanya.Bayaran Tetap,Namun Pemakaian Tidak ada.",2025-04-23 00:46:32
3dd4b545-693e-444f-bde6-eac8108538cf,Rhenisa 123,5,cepat pengurusannya dan tdk ribet teknisinya langsung s@t set 30 menit kelar😂,2025-04-22 23:38:21
3f834b15-1665-4312-a152-10af92eeb684,Ahra Vapehouse,1,"apaan ini ,trouble udah lebih 4 hari ga diperbaiki sangat merugikan",2025-04-22 07:50:17
d8bc1d42-38d8-48ab-9f4a-a00e8f2cb3e6,Shaki Zaidan channel,4,"aplikasi eror banyak bugnya, tampilan awal GK muncul, terus apa gunanya di perbarui!!!",2025-04-21 13:04:26
79695b17-aab1-4ea3-8310-0adddbfe5cd2,Sunengsih Nengsih,5,ok,2025-04-20 01:39:25
117203a5-6cf5-4a3c-9272-b224451932a8,Susi Soenarto,5,bagus kok. yg lain buzer yah ?,2025-04-18 03:30:25
3e572f26-cdb3-4c5c-97a9-6ee2c7179064,yandra ilyas,1,"dari awal pakai sampai skrg tiap bulan los merah, musti datang tehnisi utk perbaikan, masak tiap bulan musti kasih uang rokok ke tehnisi, kalo gak di kasih kasian & muka mereka manyun, gak usah nawarin paket promo, BENERIN DULU JARINGANNYA!!!",2025-04-14 00:26:50
1b29eb25-bd71-4e3a-b4a4-86dba5772ba7,hadi suryana,5,"udah dari lebih 2 tahun lalu pake oxygen, alhamdulilah lancar aja make nya walaupun hujan gede dan petir juga lancar aja, cm pas telat dibayar 2 mggu kemudian ehh awal bulan muncul lagi tagihan nya dan sengaja gak gw bayar tgl 5 nya lgsg di putusin aja secara sepihak dr oxygen nya, yaudah saya stop aja dulu oxygen nya, skrg pasang lagi, hari Sabtu daftar pemasangan baru, hari mggu bayar, Senin dipasang lgsg lancar sampai sekarang. so jgn sampe telat bayar aja sih menurut gw mah",2025-04-13 14:28:00
3e33d944-5493-40cb-8afc-c7e4a6940000,Away anwar,1,"internet suka los. kecepatan jaringan down. sudah 2 hari internet mati tapi gak ada penanganan yg positif. CS ke agent whatssapp tidak respon. tlp berkali kali ke Cs , jwb nya hanya tunggu tunggu tunggu lg di proses. Asli... kinerja Oxygen bukan makin bagus malah menurun 😀. mudah²an ke depan nya oxygen bs lebih baik lagi",2025-04-13 13:07:19
37ab9384-fec3-45a1-a062-acd25e273af0,Cahaya Ghoib,5,bagus,2025-04-13 12:32:24
4efcc03e-7386-4f03-a434-472b9154a5c3,Dhabith Musyawir,1,asem emang udah 2 hari los. percuma laporan gak ditanggapi. kacau emang. padahal belum ada 1 bulan,2025-04-13 09:36:25
9383bf8c-9709-4dca-942d-ba21792c5b26,Eddy Wesley,5,Awesome,2025-04-09 11:44:41
dc042ba2-62fe-4098-82f8-ad6e37592943,from u 2k years ago,1,"ini respon nya memang selama itu?, setiap bayar pasti nunggu 1-2jam biar internet nya idup lagi. bisakah diperbaikan atas reponnya?",2025-04-06 01:38:03
